Numer gry, Wynik
4462, 203
202, 197
8669, 194
7531, 190
7720, 187
7387, 180
6608, 180
7911, 180
2614, 178
9737, 178
8646, 177
6981, 167
5230, 166
8802, 163
4700, 162
6207, 158
2308, 158
561, 157
7176, 156
9817, 156
4171, 155
6349, 153
707, 152
8856, 152
1829, 151
1945, 151
8309, 151
5058, 151
9623, 151
2645, 151
7717, 151
2759, 150
2898, 150
5158, 150
7402, 149
3342, 149
4299, 144
2425, 144
3669, 144
496, 144
3832, 144
4387, 143
8743, 142
5434, 141
5057, 141
7121, 141
8940, 141
5503, 141
4957, 140
9770, 139
1854, 139
9696, 138
5748, 137
330, 136
112, 136
5625, 135
9602, 135
1414, 134
2744, 134
7050, 134
277, 133
9779, 133
5160, 133
1616, 133
1348, 132
2399, 132
8719, 132
1987, 130
7268, 130
6376, 130
2485, 129
9014, 129
321, 129
5000, 129
4759, 129
9087, 128
1087, 128
1946, 128
4089, 128
6317, 128
2317, 127
4570, 127
8234, 127
2006, 127
8471, 127
5264, 127
65, 127
2173, 126
5462, 126
4671, 126
9909, 126
5458, 125
2060, 125
9412, 125
5977, 125
5506, 125
7699, 125
3571, 125
1034, 124
8446, 123
7815, 123
1881, 123
9334, 123
9911, 123
4802, 122
1459, 121
9918, 121
5911, 121
90, 121
2202, 120
2583, 120
1330, 120
1457, 120
5918, 120
5266, 120
7920, 119
5453, 119
5757, 119
5315, 119
2098, 119
2223, 119
6967, 119
959, 119
1875, 119
416, 118
2964, 118
6718, 118
1048, 117
6663, 117
6662, 117
6203, 117
6113, 117
8, 117
7816, 117
3610, 117
3536, 117
153, 116
4232, 116
6979, 116
2662, 116
6529, 116
5515, 116
2007, 116
2150, 116
9521, 116
1125, 116
116, 115
4920, 115
8576, 115
3804, 115
2734, 114
2880, 114
1952, 114
9101, 114
5978, 114
2983, 114
8075, 114
425, 114
9627, 114
3617, 114
7818, 114
2284, 113
2256, 113
5533, 113
9891, 113
1115, 113
3931, 112
1496, 112
1737, 112
7193, 112
5917, 112
9577, 112
1030, 111
8571, 111
5861, 111
2638, 111
1522, 111
2760, 111
5817, 110
6595, 110
7170, 109
3654, 109
144, 109
5354, 109
3351, 109
5156, 109
9829, 109
8128, 109
2318, 108
4244, 108
4977, 108
2241, 108
4602, 107
8584, 107
3954, 107
2462, 107
2371, 107
1549, 107
9816, 106
3859, 106
1567, 106
709, 106
9404, 106
7652, 106
1988, 106
7993, 106
